longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_house_value,ocean_proximity,median_income_a,median_income_b,median_income_c
-122.26,37.84,52.0,950.0,202.0,467.0,198.0,188800.0,NEAR BAY,3.9643,3.9404266923915077,4.014544798904898
-122.26,37.83,52.0,1443.0,311.0,660.0,292.0,184400.0,NEAR BAY,3.0125,2.923419050080363,3.0494406305785584
-122.26,37.83,52.0,1656.0,420.0,718.0,382.0,182300.0,NEAR BAY,2.6768,2.6382624204593808,2.5686653182824353
-122.26,37.83,50.0,1125.0,322.0,616.0,304.0,142500.0,NEAR BAY,2.026,2.0073349170007093,1.9798038530065298
-122.27,37.82,43.0,1007.0,312.0,558.0,253.0,137500.0,NEAR BAY,1.7348,1.7714779127608915,1.6993883935946794
-122.26,37.82,40.0,624.0,195.0,423.0,160.0,187500.0,NEAR BAY,0.9506,0.9571328709212755,0.9350849876483946
-122.27,37.82,40.0,946.0,375.0,700.0,352.0,112500.0,NEAR BAY,1.775,1.712412074484623,1.7600773859065333
-122.27,37.82,21.0,896.0,453.0,735.0,438.0,171900.0,NEAR BAY,0.9218,0.9277748120597624,0.9402203219263624
-122.27,37.82,43.0,1868.0,456.0,1061.0,407.0,93800.0,NEAR BAY,1.5045,1.492912874182273,1.5405623339832315
-122.27,37.82,41.0,3221.0,853.0,1959.0,720.0,97500.0,NEAR BAY,1.1108,1.095761500841203,1.1042931373162101
-122.27,37.82,52.0,1630.0,456.0,1162.0,400.0,104200.0,NEAR BAY,1.2475,1.2627613234065798,1.2412305425099477
-122.28,37.82,52.0,1170.0,235.0,701.0,233.0,87500.0,NEAR BAY,1.6098,1.6429940606262794,1.5870878558202515
-122.28,37.82,52.0,945.0,243.0,576.0,220.0,83100.0,NEAR BAY,1.4113,1.4375863126421737,1.4138174119422553
-122.28,37.82,52.0,1238.0,288.0,622.0,259.0,87500.0,NEAR BAY,1.5057,1.4804278035056735,1.5117987138626499
-122.28,37.82,52.0,1489.0,335.0,728.0,244.0,85300.0,NEAR BAY,0.8172,0.8121462329290878,0.830381036470957
-122.28,37.82,52.0,1387.0,341.0,1074.0,304.0,80300.0,NEAR BAY,1.2171,1.2251636144472255,1.2365355954678674
-122.29,37.82,2.0,158.0,43.0,94.0,57.0,60000.0,NEAR BAY,2.5625,2.6124966877650206,2.444516449882711
-122.29,37.83,52.0,1121.0,211.0,554.0,187.0,75700.0,NEAR BAY,3.3929,3.360384194568294,3.3825486049432403
-122.29,37.82,49.0,135.0,29.0,86.0,23.0,75000.0,NEAR BAY,6.1183,6.095581653661555,6.287666784379898
-122.29,37.81,50.0,760.0,190.0,377.0,122.0,86100.0,NEAR BAY,0.9011,0.8811616310984633,0.8932042927801108
-122.3,37.81,52.0,1224.0,237.0,521.0,159.0,76100.0,NEAR BAY,1.191,1.1625063582143984,1.2181367401134136
-122.3,37.81,48.0,828.0,182.0,392.0,133.0,73500.0,NEAR BAY,2.5938,2.6359505895625213,2.5779025064226198
-122.3,37.81,52.0,1010.0,209.0,604.0,187.0,78400.0,NEAR BAY,1.1667,1.1983465048266717,1.170781664189291
-122.3,37.81,48.0,1455.0,354.0,788.0,332.0,84400.0,NEAR BAY,0.8056,0.8044397729210976,0.7872824171640649
-122.29,37.8,52.0,1027.0,244.0,492.0,147.0,81300.0,NEAR BAY,2.6094,2.6617723748751887,2.5520324162777186
-122.3,37.81,52.0,572.0,109.0,274.0,82.0,85000.0,NEAR BAY,1.8516,1.8649921052795637,1.878466403904044
-122.29,37.81,46.0,2801.0,644.0,1823.0,611.0,129200.0,NEAR BAY,0.9802,0.9675530723307212,0.9974871655650538
-122.29,37.81,26.0,768.0,152.0,392.0,127.0,82500.0,NEAR BAY,1.7719,1.7847071374680075,1.772836587577933
-122.29,37.81,46.0,935.0,297.0,582.0,277.0,95200.0,NEAR BAY,0.7286,0.7510122688465422,0.7107125167362734
-122.29,37.81,49.0,844.0,204.0,560.0,152.0,75000.0,NEAR BAY,1.75,1.7487460886311517,1.7515331594812527
-122.29,37.81,46.0,12.0,4.0,18.0,7.0,67500.0,NEAR BAY,0.4999,0.5155433072708284,0.5124698351368214
-122.29,37.81,20.0,835.0,161.0,290.0,133.0,137500.0,NEAR BAY,2.483,2.3529034581309034,2.5695507489027705
-122.28,37.81,17.0,1237.0,462.0,762.0,439.0,177500.0,NEAR BAY,0.9241,0.939290402085863,0.9182466039947524
-122.28,37.81,36.0,2914.0,562.0,1236.0,509.0,102100.0,NEAR BAY,2.4464,2.450659038954757,2.365185985822587
-122.28,37.81,19.0,1207.0,243.0,721.0,207.0,108300.0,NEAR BAY,1.1111,1.1044554586579474,1.1297745599093063
-122.29,37.81,23.0,1745.0,374.0,1054.0,325.0,112500.0,NEAR BAY,0.8026,0.8040729439849478,0.7981702403757043
-122.28,37.8,38.0,684.0,176.0,344.0,155.0,131300.0,NEAR BAY,2.0114,1.9314440777034354,2.0493366389287178
-122.28,37.81,17.0,924.0,289.0,609.0,289.0,162500.0,NEAR BAY,1.5,1.4934098433648746,1.5084321667505285
-122.27,37.81,52.0,210.0,56.0,183.0,56.0,112500.0,NEAR BAY,1.1667,1.175032864743655,1.146085715236153
-122.28,37.81,52.0,340.0,97.0,200.0,87.0,112500.0,NEAR BAY,1.5208,1.5657516252648578,1.5225715604738155
-122.28,37.81,52.0,386.0,164.0,346.0,155.0,137500.0,NEAR BAY,0.8075,0.7991299359748806,0.8286296646279274
-122.28,37.81,35.0,948.0,184.0,467.0,169.0,118800.0,NEAR BAY,1.8088,1.779551935421736,1.803404205295121
-122.28,37.81,52.0,773.0,143.0,377.0,115.0,98200.0,NEAR BAY,2.4083,2.3841323702387074,2.35845757449749
-122.27,37.81,40.0,880.0,451.0,582.0,380.0,118800.0,NEAR BAY,0.977,0.9948869573798984,0.9459578929456213
-122.27,37.81,10.0,875.0,348.0,546.0,330.0,162500.0,NEAR BAY,0.76,0.7649970168668272,0.7482630967596573
-122.27,37.8,10.0,105.0,42.0,125.0,39.0,137500.0,NEAR BAY,0.9722,0.9618993425979536,0.9642253105261249
-122.27,37.8,52.0,249.0,78.0,396.0,85.0,500001.0,NEAR BAY,1.2434,1.2561639345266629,1.2637917385119906
-122.27,37.8,16.0,994.0,392.0,800.0,362.0,162500.0,NEAR BAY,2.0938,2.097865219456499,2.0468633160611205
-122.28,37.8,52.0,215.0,87.0,904.0,88.0,137500.0,NEAR BAY,0.8668,0.8835924295558781,0.893735842691009
-122.28,37.8,52.0,96.0,31.0,191.0,34.0,162500.0,NEAR BAY,0.75,0.7394692035918398,0.7299427168373821
-122.27,37.79,27.0,1055.0,347.0,718.0,302.0,187500.0,NEAR BAY,2.6354,2.618129583577125,2.758287968966486
-122.27,37.8,39.0,1715.0,623.0,1327.0,467.0,179200.0,NEAR BAY,1.8477,1.833210035309154,1.9114648127463045
-122.26,37.8,36.0,5329.0,2477.0,3469.0,2323.0,130000.0,NEAR BAY,2.0096,1.9507784072046739,2.015273753895402
-122.26,37.82,31.0,4596.0,1331.0,2048.0,1180.0,183800.0,NEAR BAY,2.8345,2.85128705850679,2.7410922535139117
-122.26,37.81,29.0,335.0,107.0,202.0,91.0,125000.0,NEAR BAY,2.0062,2.016674581740946,2.0039761649370176
-122.26,37.82,22.0,3682.0,1270.0,2024.0,1250.0,170000.0,NEAR BAY,1.2185,1.2186246149383766,1.2090726858538687
-122.26,37.82,37.0,3633.0,1085.0,1838.0,980.0,193100.0,NEAR BAY,2.6104,2.59815267494075,2.5438720126589573
-122.25,37.81,29.0,4656.0,1414.0,2304.0,1250.0,257800.0,NEAR BAY,2.4912,2.42068056814808,2.5056992636679767
-122.25,37.81,28.0,5806.0,1603.0,2563.0,1497.0,273400.0,NEAR BAY,3.2177,3.1906297908987575,3.16469527002127
-122.25,37.81,39.0,854.0,242.0,389.0,228.0,237500.0,NEAR BAY,3.125,3.103580342717077,3.0803183845594013
-122.25,37.81,52.0,2155.0,701.0,895.0,613.0,350000.0,NEAR BAY,2.5795,2.5381105156808568,2.568992219242412
-122.26,37.81,34.0,5871.0,1914.0,2689.0,1789.0,335700.0,NEAR BAY,2.8406,2.8314370361488304,2.8079382796235715
-122.24,37.82,52.0,1509.0,225.0,674.0,244.0,313400.0,NEAR BAY,4.9306,4.970444263092196,5.1355311803264545
-122.24,37.81,52.0,2026.0,482.0,709.0,456.0,268500.0,NEAR BAY,3.2727,3.3961584119778343,3.2376353344116473
-122.25,37.81,52.0,1758.0,460.0,686.0,422.0,259400.0,NEAR BAY,3.1691,3.1801650909329076,3.1970439202642047
-122.24,37.82,52.0,3481.0,751.0,1444.0,718.0,275700.0,NEAR BAY,3.9,3.9200889304763753,3.9113507543924078
-122.25,37.82,28.0,3337.0,855.0,1520.0,802.0,225000.0,NEAR BAY,3.9063,3.900483838384852,3.933858964098574
-122.25,37.82,52.0,1424.0,289.0,550.0,253.0,262500.0,NEAR BAY,5.0917,4.896303852061238,5.135395788493316
-122.25,37.82,32.0,3809.0,1098.0,1806.0,1022.0,218500.0,NEAR BAY,2.6429,2.641498529571505,2.6894870054590267
-122.25,37.82,26.0,3959.0,1196.0,1749.0,1217.0,255000.0,NEAR BAY,3.0233,3.0269418798742938,3.0394109284083566
-122.25,37.83,52.0,2376.0,559.0,939.0,519.0,224100.0,NEAR BAY,3.1484,3.3035054293389736,3.1625612384124016
-122.25,37.83,35.0,1613.0,428.0,675.0,422.0,243100.0,NEAR BAY,3.4722,3.4588416851617394,3.476260881542702
-122.25,37.83,52.0,1279.0,287.0,534.0,291.0,231600.0,NEAR BAY,3.1429,3.161854662844406,3.134199330637614
-122.25,37.83,28.0,5022.0,1750.0,2558.0,1661.0,218500.0,NEAR BAY,2.4234,2.4217175899459265,2.3792069802716704
-122.25,37.83,52.0,4190.0,1105.0,1786.0,1037.0,234100.0,NEAR BAY,3.0897,3.017482709343339,3.085938699485696
-122.23,37.84,50.0,2515.0,399.0,970.0,373.0,327600.0,NEAR BAY,5.8596,5.993529691278645,5.887874606242119
-122.23,37.84,47.0,3175.0,454.0,1098.0,485.0,347600.0,NEAR BAY,5.2868,5.366306391144168,5.329323271553781
-122.24,37.83,41.0,2576.0,406.0,794.0,376.0,366100.0,NEAR BAY,5.956,6.050227725531768,5.977475522158597
-122.24,37.85,37.0,334.0,54.0,98.0,47.0,335000.0,NEAR BAY,4.9643,4.874010557163249,4.941170828534749
-122.23,37.85,52.0,2800.0,411.0,1061.0,403.0,373600.0,NEAR BAY,6.3434,6.52136970863984,6.336158386841342
-122.24,37.84,52.0,3529.0,574.0,1177.0,555.0,389500.0,NEAR BAY,5.1773,5.0321439298521105,5.119972121110703
-122.24,37.85,52.0,2612.0,365.0,901.0,367.0,391100.0,NEAR BAY,7.2354,7.32032291632965,7.2807260172905774
-122.22,37.85,28.0,5287.0,1048.0,2031.0,956.0,337300.0,NEAR BAY,5.457,5.696066327000901,5.432866065205453
-122.22,37.84,50.0,2935.0,473.0,1031.0,479.0,295200.0,NEAR BAY,7.5,7.351419551230397,7.52708414072962
-122.21,37.84,44.0,3424.0,597.0,1358.0,597.0,292300.0,NEAR BAY,6.0194,5.9512245489285815,6.139884676786738
-122.21,37.83,40.0,4991.0,674.0,1616.0,654.0,411500.0,NEAR BAY,7.5544,7.569456125448362,7.447224381059946
-122.2,37.84,30.0,2211.0,346.0,844.0,343.0,311500.0,NEAR BAY,6.0666,6.005512291934774,6.138998243956631
-122.21,37.84,34.0,3038.0,490.0,1140.0,496.0,325900.0,NEAR BAY,7.0548,6.836007592530293,7.059485823541106
-122.19,37.84,18.0,1617.0,210.0,533.0,194.0,392600.0,NEAR BAY,11.6017,11.617608941296142,12.07068563568512
-122.2,37.84,35.0,2865.0,460.0,1072.0,443.0,319300.0,NEAR BAY,7.4882,7.329105146617524,7.455805997607991
-122.21,37.83,34.0,5065.0,788.0,1627.0,766.0,333300.0,NEAR BAY,6.8976,6.962933022990985,6.993499344574856
-122.19,37.83,28.0,1326.0,184.0,463.0,190.0,335200.0,NEAR BAY,8.2049,8.054024322010703,8.207419470726252
-122.2,37.83,26.0,1589.0,223.0,542.0,211.0,351200.0,NEAR BAY,8.401,8.661419978731047,8.167737076513166
-122.19,37.83,29.0,1791.0,271.0,661.0,269.0,368900.0,NEAR BAY,6.8538,6.746434771699717,6.7824260215426175
-122.19,37.82,32.0,1835.0,264.0,635.0,263.0,365900.0,NEAR BAY,8.317,8.263428287394348,8.46345756367696
-122.2,37.82,37.0,1229.0,181.0,420.0,176.0,366700.0,NEAR BAY,7.0175,7.131677141457834,6.956771332453629
-122.2,37.82,39.0,3770.0,534.0,1265.0,500.0,362800.0,NEAR BAY,6.3302,6.174367654082195,6.049106669516045
-122.18,37.81,30.0,292.0,38.0,126.0,52.0,483300.0,NEAR BAY,6.3624,6.391343821758506,6.358404028902391
-122.21,37.82,52.0,2375.0,333.0,813.0,350.0,331400.0,NEAR BAY,7.0549,7.239335228343743,6.900773533031708
-122.2,37.81,45.0,2964.0,436.0,1067.0,426.0,323500.0,NEAR BAY,6.7851,6.566961310103572,6.80298792994884
-122.21,37.8,50.0,2833.0,605.0,1260.0,552.0,216700.0,NEAR BAY,2.8929,2.903582545786962,2.9826462678355266
-122.21,37.8,38.0,2254.0,535.0,951.0,487.0,233100.0,NEAR BAY,3.0812,3.097215017312765,3.128617037320918
-122.21,37.81,52.0,1389.0,212.0,510.0,224.0,296400.0,NEAR BAY,5.2402,5.322138164253748,5.401247677475264
-122.22,37.81,52.0,1971.0,335.0,765.0,308.0,273700.0,NEAR BAY,6.5217,6.360359570977328,6.448459740994909
-122.22,37.8,52.0,2183.0,465.0,1129.0,460.0,227700.0,NEAR BAY,3.2632,3.1770217196036676,3.2538563924016106
-122.22,37.8,52.0,2286.0,464.0,1073.0,441.0,199600.0,NEAR BAY,3.0298,3.0614275711101215,2.966511344218236
-122.22,37.8,52.0,2721.0,541.0,1185.0,515.0,239800.0,NEAR BAY,4.5428,4.569782839471275,4.480650548757437
-122.22,37.81,52.0,2024.0,339.0,756.0,340.0,270100.0,NEAR BAY,4.072,4.092400137732168,3.9965144992586135
-122.22,37.81,52.0,2944.0,536.0,1034.0,521.0,302100.0,NEAR BAY,5.3509,5.387976194483947,5.2110571212808745
-122.23,37.8,52.0,2033.0,486.0,787.0,459.0,269500.0,NEAR BAY,3.1603,3.1173183574479095,3.2466303338606926
-122.23,37.81,52.0,1433.0,229.0,612.0,213.0,314700.0,NEAR BAY,4.7708,4.792960718768314,4.5711935164897595
-122.22,37.81,52.0,2927.0,402.0,1021.0,380.0,390100.0,NEAR BAY,8.1564,8.204208326424267,8.379908019262956
-122.23,37.81,52.0,2315.0,292.0,861.0,258.0,410300.0,NEAR BAY,8.8793,8.75244118907837,9.100582620240885
-122.24,37.81,52.0,2485.0,313.0,953.0,327.0,352400.0,NEAR BAY,6.8591,7.11505067898786,6.927662558807559
-122.24,37.81,52.0,1490.0,238.0,634.0,256.0,287300.0,NEAR BAY,6.0302,6.087346145593645,5.895785965438783
-122.23,37.81,52.0,2814.0,365.0,878.0,352.0,348700.0,NEAR BAY,7.508,7.32911386686005,7.270420585265688
-122.24,37.81,52.0,2093.0,550.0,918.0,483.0,243800.0,NEAR BAY,2.7477,2.7837802470088633,2.7175630240998423
-122.24,37.8,52.0,888.0,168.0,360.0,175.0,211500.0,NEAR BAY,2.1944,2.151623170857063,2.2218352865878463
-122.25,37.8,52.0,2087.0,510.0,1197.0,488.0,218400.0,NEAR BAY,3.0149,3.062359627436462,3.0150847312103974
-122.24,37.81,52.0,2513.0,502.0,1048.0,518.0,269900.0,NEAR BAY,3.675,3.760156775057044,3.5983027871105353
-122.25,37.81,46.0,3232.0,835.0,1373.0,747.0,218800.0,NEAR BAY,3.225,3.1720659904663147,3.299059208610344
-122.25,37.8,42.0,4120.0,1065.0,1715.0,1015.0,225000.0,NEAR BAY,2.9345,2.991040545025349,3.0333564575309744
-122.25,37.8,43.0,2364.0,792.0,1359.0,722.0,250000.0,NEAR BAY,2.1429,2.1605909649666444,2.1331884130286625
-122.25,37.8,41.0,1471.0,469.0,1062.0,413.0,171400.0,NEAR BAY,1.6121,1.6386048636785424,1.6156252404457858
-122.25,37.8,29.0,2468.0,864.0,1335.0,773.0,193800.0,NEAR BAY,1.3929,1.4457408589107739,1.3508664933714496
-122.24,37.79,27.0,1632.0,492.0,1171.0,429.0,125000.0,NEAR BAY,2.3173,2.305927242375731,2.2980948332552105
-122.25,37.79,45.0,1786.0,526.0,1475.0,460.0,97500.0,NEAR BAY,1.7772,1.7504092017740773,1.7953430785780673
-122.25,37.79,50.0,629.0,188.0,742.0,196.0,125000.0,NEAR BAY,2.6458,2.598730454441936,2.6645775886842804
-122.25,37.79,52.0,1339.0,391.0,1086.0,363.0,138800.0,NEAR BAY,2.181,2.1454143553698075,2.1588555284174724
-122.25,37.8,36.0,1678.0,606.0,1645.0,543.0,116700.0,NEAR BAY,2.2303,2.2268608011498747,2.2180670940609
-122.25,37.8,43.0,2344.0,647.0,1710.0,644.0,151800.0,NEAR BAY,1.6504,1.661660744384748,1.6356384680081375
-122.24,37.8,52.0,996.0,228.0,731.0,228.0,127000.0,NEAR BAY,2.2697,2.2822601021447864,2.2570593727854673
-122.24,37.8,52.0,1591.0,373.0,1118.0,347.0,128600.0,NEAR BAY,2.1563,2.1919731047979276,2.1745524240933967
-122.24,37.8,52.0,1586.0,398.0,1006.0,335.0,140600.0,NEAR BAY,2.1348,2.1353551287756187,2.05079403660308
-122.24,37.8,47.0,2046.0,588.0,1213.0,554.0,182700.0,NEAR BAY,2.6292,2.7056326359132403,2.6252904051133403
-122.23,37.8,52.0,1192.0,289.0,772.0,257.0,146900.0,NEAR BAY,2.3833,2.37068486738688,2.3999819338811346
-122.24,37.8,52.0,1803.0,420.0,1321.0,401.0,122800.0,NEAR BAY,2.957,3.1178708045121097,2.9232615356911866
-122.24,37.8,49.0,2838.0,749.0,1487.0,677.0,169300.0,NEAR BAY,2.5238,2.5553811850457864,2.499605185272829
-122.23,37.8,52.0,783.0,184.0,488.0,186.0,126600.0,NEAR BAY,1.9375,1.9042851446888691,1.9200472154184014
-122.23,37.8,51.0,1590.0,414.0,949.0,392.0,127900.0,NEAR BAY,1.9028,1.8620461150937864,1.8845692742070699
-122.23,37.8,50.0,1746.0,480.0,1149.0,415.0,123500.0,NEAR BAY,2.25,2.271711258685943,2.2502647700032665
-122.23,37.8,52.0,1252.0,299.0,844.0,280.0,111900.0,NEAR BAY,2.3929,2.3822055180198753,2.3990738139930237
-122.23,37.79,43.0,5963.0,1344.0,4367.0,1231.0,112800.0,NEAR BAY,2.1917,2.222997497658033,2.0996260554622075
-122.23,37.79,52.0,1783.0,395.0,1659.0,412.0,107900.0,NEAR BAY,2.9357,2.963485673889211,2.974033218130624
-122.23,37.79,30.0,999.0,264.0,1011.0,263.0,137500.0,NEAR BAY,1.8854,1.8826537673615344,1.874464722069045
-122.24,37.79,39.0,1469.0,431.0,1464.0,389.0,105500.0,NEAR BAY,2.1638,2.1271541550568718,2.247450914381577
-122.24,37.79,47.0,1372.0,395.0,1237.0,303.0,95500.0,NEAR BAY,2.125,2.0606189929508507,2.0743549370968046
-122.24,37.79,52.0,674.0,180.0,647.0,168.0,116100.0,NEAR BAY,3.375,3.3448602407354757,3.3164562706590828
-122.24,37.79,43.0,1626.0,376.0,1284.0,357.0,112200.0,NEAR BAY,2.2542,2.2928098832432795,2.2450520516095525
-122.25,37.79,51.0,175.0,43.0,228.0,55.0,75000.0,NEAR BAY,2.1,2.1089919372534687,2.1173554688868137
-122.25,37.79,39.0,461.0,129.0,381.0,123.0,112500.0,NEAR BAY,1.6,1.5601363590812165,1.5375754455241122
-122.25,37.79,52.0,902.0,237.0,846.0,227.0,125000.0,NEAR BAY,3.625,3.6375556171242107,3.5648902462215823
-122.26,37.8,20.0,2373.0,779.0,1659.0,676.0,115000.0,NEAR BAY,1.6929,1.7059460758428588,1.712920917996709
-122.22,37.77,52.0,391.0,128.0,520.0,138.0,95000.0,NEAR BAY,1.6471,1.6179839683366621,1.6158669009566191
-122.22,37.77,52.0,1137.0,301.0,866.0,259.0,96400.0,NEAR BAY,2.59,2.597962960487978,2.6609673662962887
-122.23,37.77,52.0,769.0,206.0,612.0,183.0,72000.0,NEAR BAY,2.57,2.572991928128124,2.5466703830191575
-122.23,37.78,52.0,472.0,146.0,415.0,126.0,71300.0,NEAR BAY,2.6429,2.582484875997269,2.5953609313234702
-122.23,37.78,52.0,862.0,215.0,994.0,213.0,80800.0,NEAR BAY,3.0257,3.047351144324116,3.062628321015875
-122.22,37.78,50.0,1920.0,530.0,1525.0,477.0,128800.0,NEAR BAY,1.4886,1.5052956769190349,1.5364619848405372
-122.23,37.78,43.0,1420.0,472.0,1506.0,438.0,112500.0,NEAR BAY,1.9338,1.9756880898810472,1.949904541703179
-122.23,37.78,52.0,986.0,258.0,1008.0,255.0,119400.0,NEAR BAY,1.4844,1.515685275320812,1.52181962800414
-122.23,37.78,44.0,2340.0,825.0,2813.0,751.0,118100.0,NEAR BAY,1.6009,1.5567897821767498,1.6545825103365144
-122.23,37.79,48.0,1696.0,396.0,1481.0,343.0,122500.0,NEAR BAY,2.0375,1.9992836296234588,1.9999342587929512
-122.23,37.79,49.0,1175.0,217.0,859.0,219.0,106300.0,NEAR BAY,2.293,2.3166195173541895,2.3360346265799725
-122.22,37.79,37.0,2343.0,574.0,1608.0,523.0,132500.0,NEAR BAY,2.1494,2.1714866304578138,2.083909049746059
-122.23,37.79,30.0,610.0,145.0,425.0,140.0,122700.0,NEAR BAY,1.6198,1.6364854848455705,1.6335651424197517
-122.23,37.79,40.0,930.0,199.0,564.0,184.0,113300.0,NEAR BAY,1.3281,1.4304362538547708,1.3262056541921454
-122.22,37.79,44.0,1487.0,314.0,961.0,272.0,109500.0,NEAR BAY,3.5156,3.555740453587858,3.6029943146762933
-122.22,37.79,52.0,3424.0,690.0,2273.0,685.0,164700.0,NEAR BAY,3.9048,3.9934831342355444,3.9963481541580643
